"";"name";"date";"close";"high";"low";"open";"volume"
"1";"NVDA";2021-01-21;554,7;559,9743;530,1201;536,7442;8362913
"2";"NVDA";2021-01-20;534,63;537,22;522,27;524,47;6464272
"3";"NVDA";2021-01-19;521,01;523,7593;513,76;520,65;5654672
"4";"NVDA";2021-01-15;514,38;533,01;513,94;529,12;6944532
"5";"NVDA";2021-01-14;528,01;543,99;527,22;543;7078007
"6";"NVDA";2021-01-13;541,27;544,9999;535,4001;539,5986;5250711
"7";"NVDA";2021-01-12;539,39;550,18;533,8;550,1;7178074
"8";"NVDA";2021-01-11;544,86;558,44;534,5;536,75;12975720
"9";"NVDA";2021-01-08;531,07;536,8399;521,68;534,5;7313215
"10";"NVDA";2021-01-07;533,76;535,11;515,4601;518,7;11537037
"11";"NVDA";2021-01-06;504,58;529,8;503,44;528,9;14510575
"12";"NVDA";2021-01-05;536,19;537,74;523,48;523,99;8068998
"13";"NVDA";2021-01-04;524,54;546,0999;518,5;524,17;14016045
"14";"NVDA";2020-12-31;522,2;526,045;516,6;525,46;4810610
"15";"NVDA";2020-12-30;525,83;528,55;515,87;519,6124;5634929
"16";"NVDA";2020-12-29;517,73;522,9;513,69;517;4259304
"17";"NVDA";2020-12-28;516;522,5;510,527;522,5;5286655
"18";"NVDA";2020-12-24;519,75;525,3;517,55;521,49;2447088
"19";"NVDA";2020-12-23;520,37;531;520,2;530,24;4478569
"20";"NVDA";2020-12-22;531,13;533,4899;522,1552;532,77;4657872
"21";"NVDA";2020-12-21;533,29;534,8;518,7;522,99;7558304
"22";"NVDA";2020-12-18;530,88;536,2;522,82;535,16;8551616
"23";"NVDA";2020-12-17;533,65;535,18;527,14;534,67;5784597
"24";"NVDA";2020-12-16;529,7;537,49;528,5;536,8999;5577867
"25";"NVDA";2020-12-15;534,42;538,56;527,47;537,59;4837148
"26";"NVDA";2020-12-14;532,35;535,55;523,1;523,515;6753947
"27";"NVDA";2020-12-11;520,53;520,8;512,92;518,69;5231641
"28";"NVDA";2020-12-10;518,89;522,7499;513,975;514,76;5194118
"29";"NVDA";2020-12-09;517,23;536,56;514,7295;532,02;10032530
"30";"NVDA";2020-12-08;534;543,95;531,26;543,4;6798022
"31";"NVDA";2020-12-07;544,27;549,25;540;544,05;5581081
"32";"NVDA";2020-12-04;542,33;542,3999;535,5476;537,94;5056085
"33";"NVDA";2020-12-03;535,84;546,4;533,16;543,5;4988016
"34";"NVDA";2020-12-02;541,78;546,9377;529,37;534,02;7084030
"35";"NVDA";2020-12-01;535,6;541,15;529,13;539,69;7412379
"36";"NVDA";2020-11-30;536,06;536,5;518,8941;530,6;7173800
"37";"NVDA";2020-11-27;530,45;536,3;526,8218;535;4181880
"38";"NVDA";2020-11-25;529,39;530,7756;520,8;521,3;6497910
"39";"NVDA";2020-11-24;518,31;526,48;515,4;525,7;8568883
"40";"NVDA";2020-11-23;525,6;535,3;520,62;526,8452;9033855
"41";"NVDA";2020-11-20;523,51;539,7799;522,6;538,16;8527245
"42";"NVDA";2020-11-19;537,61;539,5;524;528,51;14148355
"43";"NVDA";2020-11-18;537,15;544,23;527,4;538,61;12773133
"44";"NVDA";2020-11-17;536,89;543,85;532,1549;542,1;7800699
"45";"NVDA";2020-11-16;540,61;545,98;526,2401;526,9;10344370
"46";"NVDA";2020-11-13;531,88;546,7499;522,37;545,0911;8669058
"47";"NVDA";2020-11-12;538,27;550,64;532,64;539,1569;9165875
"48";"NVDA";2020-11-11;536,72;537,395;517,93;522,15;10118586
"49";"NVDA";2020-11-10;510,8;544,26;505,13;544,26;16101680
"50";"NVDA";2020-11-09;545,23;587,66;544,43;582,1;14574447
"51";"NVDA";2020-11-06;582,48;583,55;555,8;564,39;9583732
"52";"NVDA";2020-11-05;566,4;573,56;559,64;566,5;7975708
"53";"NVDA";2020-11-04;551,77;553,1;533,475;535,57;10255732
"54";"NVDA";2020-11-03;520,78;524,2;504,11;508,34;6822527
"55";"NVDA";2020-11-02;503,23;513,4663;495,8;506,31;7491316
"56";"NVDA";2020-10-30;501,36;517,455;492;514;10434900
"57";"NVDA";2020-10-29;520,96;527,71;510;513,54;8002046
"58";"NVDA";2020-10-28;505,08;530,4;504,36;527,92;9412952
"59";"NVDA";2020-10-27;535,87;537,68;527,66;532,24;6262992
"60";"NVDA";2020-10-26;525,65;547,7117;521,54;537,08;8422358
"61";"NVDA";2020-10-23;543,61;543,73;531,65;538;5837107
"62";"NVDA";2020-10-22;534,44;544,47;529,27;540,9;7261986
"63";"NVDA";2020-10-21;540,99;551,66;539,1001;545;5489933
"64";"NVDA";2020-10-20;545,82;551,99;540,2801;543,34;5730301
"65";"NVDA";2020-10-19;539,91;559,3399;536,27;556,115;7451714
"66";"NVDA";2020-10-16;552,46;564,86;551,7;561,47;6065990
"67";"NVDA";2020-10-15;558,8;560,23;550,71;552,4272;6680628
"68";"NVDA";2020-10-14;563,81;573,71;558,4;571,62;6916178
"69";"NVDA";2020-10-13;569,93;573,9399;560,745;571,86;8615078
"70";"NVDA";2020-10-12;569,04;573,88;556,5;559,58;10868595
"71";"NVDA";2020-10-09;550,51;552,97;546,43;550,68;8672273
"72";"NVDA";2020-10-08;553,55;563,38;550,32;563;9472522
"73";"NVDA";2020-10-07;558,56;564,77;554,54;559,99;10452129
"74";"NVDA";2020-10-06;549,46;565,68;546,6;553,2;19610496
"75";"NVDA";2020-10-05;545,7;545,77;528,9106;529,44;11995457
"76";"NVDA";2020-10-02;522,49;540,78;522,04;529;13812397
"77";"NVDA";2020-10-01;544,58;550,5095;538,4301;550,32;13125059
"78";"NVDA";2020-09-30;541,22;544,9;526,01;526,3;17229603
"79";"NVDA";2020-09-29;529,03;537,71;517,33;517,5;15575124
"80";"NVDA";2020-09-28;521,4;522,07;510;521,61;14345228
"81";"NVDA";2020-09-25;514,95;515,34;489,83;497,9;14700407
"82";"NVDA";2020-09-24;493,92;502,78;480,56;482,89;18281008
"83";"NVDA";2020-09-23;484,95;509,08;483,17;503,02;16175308
"84";"NVDA";2020-09-22;505,51;505,9199;486,222;503;16161302
"85";"NVDA";2020-09-21;500,69;500,9;476,18;477;18026061
"86";"NVDA";2020-09-18;487,57;505,3;479,55;503,75;17461548
"87";"NVDA";2020-09-17;498,54;503,59;481,39;485,2894;19812794
"88";"NVDA";2020-09-16;500,58;523,71;500,55;518,29;13939985
"89";"NVDA";2020-09-15;519,64;531,95;513,11;531,2;18188914
"90";"NVDA";2020-09-14;514,89;532,6;505,2457;523,24;30043624
"91";"NVDA";2020-09-11;486,58;506,1;475,83;499,42;15923172
"92";"NVDA";2020-09-10;492,47;522,61;486,68;519,57;17467111
"93";"NVDA";2020-09-09;508,6;512,37;489,27;496;18404957
"94";"NVDA";2020-09-08;476,52;502;468,17;469,38;19893237
"95";"NVDA";2020-09-04;504,9;527;468,19;511,35;36592071
"96";"NVDA";2020-09-03;520,62;555,38;515,15;553,1454;23628151
"97";"NVDA";2020-09-02;573,86;589,0699;556;588,15;21850322
"98";"NVDA";2020-09-01;552,84;559,75;537,46;539,2;12811849
